dropout	pre_processing_type	conv_layer_1	conv_layer_shape	size	scalar	re_train_on_known_errors	time	multi_class_zr_acc	multi_class_model_acc	boolean_zr_acc	boolean_model_acc	run number
0.01	max_morphed	16	(3, 3)	16	(-1, 1)	0	79.94980764389038	0.64	0.64	0.64	0.64	0
0.01	max_morphed	16	(3, 3)	16	(-1, 1)	25	71.73434257507324	0.6357142857142857	0.62	0.6357142857142857	0.6557142857142857	1
0.01	max_morphed	16	(3, 3)	16	(-1, 1)	50	69.64483642578125	0.6771428571428572	0.6771428571428572	0.6771428571428572	0.6771428571428572	2
0.01	max_morphed	16	(3, 3)	16	(-1, 1)	75	74.02786707878113	0.6414285714285715	0.5557142857142857	0.6414285714285715	0.6985714285714286	3
0.01	max_morphed	16	(3, 3)	16	(-1, 1)	100	73.99417901039124	0.6528571428571428	0.61	0.6528571428571428	0.7185714285714285	4
0.01	max_morphed	16	(3, 3)	16	(0, 1)	0	69.62831282615662	0.63	0.63	0.63	0.63	5
0.01	max_morphed	16	(3, 3)	16	(0, 1)	25	72.01495313644409	0.6614285714285715	0.6	0.6614285714285715	0.71	6
0.01	max_morphed	16	(3, 3)	16	(0, 1)	50	73.88308644294739	0.6457142857142857	0.5971428571428572	0.6457142857142857	0.6385714285714286	7
0.01	max_morphed	16	(3, 3)	16	(0, 1)	75	73.81354117393494	0.6514285714285715	0.5614285714285714	0.6514285714285715	0.71	8
0.01	max_morphed	16	(3, 3)	16	(0, 1)	100	73.91686367988586	0.6428571428571429	0.5657142857142857	0.6428571428571429	0.6928571428571428	9
0.01	max_morphed	16	(3, 3)	16	None	0	68.6111958026886	0.6742857142857143	0.6742857142857143	0.6742857142857143	0.6742857142857143	10
0.01	max_morphed	16	(3, 3)	16	None	25	68.59265470504761	0.6671428571428571	0.6671428571428571	0.6671428571428571	0.6671428571428571	11
0.01	max_morphed	16	(3, 3)	16	None	50	71.00271487236023	0.6785714285714286	0.6728571428571428	0.6785714285714286	0.7014285714285714	12
0.01	max_morphed	16	(3, 3)	16	None	75	73.26729941368103	0.6628571428571428	0.6185714285714285	0.6628571428571428	0.7285714285714285	13
0.01	max_morphed	16	(3, 3)	16	None	100	73.15669894218445	0.6471428571428571	0.4957142857142857	0.6471428571428571	0.6457142857142857	14
0.01	None	16	(3, 3)	16	(-1, 1)	0	17.85731554031372	0.6585714285714286	0.6557142857142857	0.6585714285714286	0.6642857142857143	15
0.01	None	16	(3, 3)	16	(-1, 1)	25	18.68286418914795	0.6557142857142857	0.6657142857142857	0.6557142857142857	0.6842857142857143	16
0.01	None	16	(3, 3)	16	(-1, 1)	50	17.910593509674072	0.6414285714285715	0.6414285714285715	0.6414285714285715	0.6414285714285715	17
0.01	None	16	(3, 3)	16	(-1, 1)	75	19.41116762161255	0.66	0.6885714285714286	0.66	0.7885714285714286	18
0.01	None	16	(3, 3)	16	(-1, 1)	100	21.79577898979187	0.6485714285714286	0.6585714285714286	0.6485714285714286	0.75	19
0.01	None	16	(3, 3)	16	(0, 1)	0	17.900388479232788	0.6457142857142857	0.6471428571428571	0.6457142857142857	0.7214285714285714	20
0.01	None	16	(3, 3)	16	(0, 1)	25	17.847686290740967	0.6557142857142857	0.6642857142857143	0.6557142857142857	0.67	21
0.01	None	16	(3, 3)	16	(0, 1)	50	18.64758276939392	0.6571428571428571	0.6642857142857143	0.6571428571428571	0.6957142857142857	22
0.01	None	16	(3, 3)	16	(0, 1)	75	21.714797973632812	0.6557142857142857	0.6828571428571428	0.6557142857142857	0.8157142857142857	23
0.01	None	16	(3, 3)	16	(0, 1)	100	21.9562828540802	0.69	0.7157142857142857	0.69	0.8242857142857143	24
0.01	None	16	(3, 3)	16	None	0	17.07008647918701	0.63	0.6357142857142857	0.63	0.6457142857142857	25
0.01	None	16	(3, 3)	16	None	25	19.296259880065918	0.6614285714285715	0.6871428571428572	0.6614285714285715	0.77	26
0.01	None	16	(3, 3)	16	None	50	17.80695343017578	0.6785714285714286	0.6857142857142857	0.6785714285714286	0.7157142857142857	27
0.01	None	16	(3, 3)	16	None	75	19.08361530303955	0.6342857142857142	0.6571428571428571	0.6342857142857142	0.7742857142857142	28
0.01	None	16	(3, 3)	16	None	100	21.043617725372314	0.6542857142857142	0.5628571428571428	0.6542857142857142	0.7671428571428571	29
0.01	resized	16	(3, 3)	16	(-1, 1)	0	69.5914855003357	0.6342857142857142	0.6342857142857142	0.6342857142857142	0.6342857142857142	30
0.01	resized	16	(3, 3)	16	(-1, 1)	25	70.31808304786682	0.6557142857142857	0.6557142857142857	0.6557142857142857	0.6642857142857143	31
0.01	resized	16	(3, 3)	16	(-1, 1)	50	71.86326193809509	0.64	0.6485714285714286	0.64	0.6857142857142857	32
0.01	resized	16	(3, 3)	16	(-1, 1)	75	71.85045576095581	0.6557142857142857	0.6571428571428571	0.6557142857142857	0.7271428571428571	33
0.01	resized	16	(3, 3)	16	(-1, 1)	100	73.73541927337646	0.6542857142857142	0.5928571428571429	0.6542857142857142	0.7442857142857143	34
0.01	resized	16	(3, 3)	16	(0, 1)	0	69.53940081596375	0.6285714285714286	0.6285714285714286	0.6285714285714286	0.6285714285714286	35
0.01	resized	16	(3, 3)	16	(0, 1)	25	71.08464193344116	0.6585714285714286	0.6528571428571428	0.6585714285714286	0.6728571428571428	36
0.01	resized	16	(3, 3)	16	(0, 1)	50	71.6522855758667	0.6585714285714286	0.6585714285714286	0.6585714285714286	0.6585714285714286	37
0.01	resized	16	(3, 3)	16	(0, 1)	75	71.1040461063385	0.6542857142857142	0.6514285714285715	0.6542857142857142	0.6871428571428572	38
0.01	resized	16	(3, 3)	16	(0, 1)	100	73.642245054245	0.6628571428571428	0.6428571428571429	0.6628571428571428	0.7442857142857143	39
0.01	resized	16	(3, 3)	16	None	0	68.61298632621765	0.6557142857142857	0.6557142857142857	0.6557142857142857	0.6557142857142857	40
