dropout	pre_processing_type	conv_layer_1	conv_layer_shape	size	scalar	re_train_on_known_errors	time	multi_class_zr_acc	multi_class_model_acc	boolean_zr_acc	boolean_model_acc	run number
0.005	morphed	16	(3, 3)	256	(-1, 1)	0	737.193443775177	0.64	0.72	0.64	0.7557142857142857	0
0.005	morphed	16	(3, 3)	256	(-1, 1)	25	832.7701613903046	0.6357142857142857	0.6485714285714286	0.6357142857142857	0.6685714285714286	1
0.005	morphed	16	(3, 3)	256	(-1, 1)	50	726.8840429782867	0.6771428571428572	0.7571428571428571	0.6771428571428572	0.8371428571428572	2
0.005	morphed	16	(3, 3)	256	(-1, 1)	75	899.6147265434265	0.6414285714285715	0.72	0.6414285714285715	0.8785714285714286	3
0.005	morphed	16	(3, 3)	256	(-1, 1)	100	893.960756778717	0.6528571428571428	0.7485714285714286	0.6528571428571428	0.8671428571428571	4
0.01	morphed	16	(3, 3)	256	(-1, 1)	0	725.6068642139435	0.63	0.6828571428571428	0.63	0.7342857142857143	5
0.01	morphed	16	(3, 3)	256	(-1, 1)	25	852.6092848777771	0.6614285714285715	0.7471428571428571	0.6614285714285715	0.8457142857142858	6
0.01	morphed	16	(3, 3)	256	(-1, 1)	50	958.3258197307587	0.6457142857142857	0.7214285714285714	0.6457142857142857	0.8657142857142858	7
0.01	morphed	16	(3, 3)	256	(-1, 1)	75	878.6656911373138	0.6514285714285715	0.7314285714285714	0.6514285714285715	0.8271428571428572	8
0.01	morphed	16	(3, 3)	256	(-1, 1)	100	906.9726977348328	0.6428571428571429	0.6657142857142857	0.6428571428571429	0.7285714285714285	9
0.02	morphed	16	(3, 3)	256	(-1, 1)	0	727.143993139267	0.6742857142857143	0.7	0.6742857142857143	0.7214285714285714	10
0.02	morphed	16	(3, 3)	256	(-1, 1)	25	726.7169151306152	0.6671428571428571	0.7242857142857143	0.6671428571428571	0.7971428571428572	11
0.02	morphed	16	(3, 3)	256	(-1, 1)	50	831.3878123760223	0.6785714285714286	0.7671428571428571	0.6785714285714286	0.8671428571428571	12
0.02	morphed	16	(3, 3)	256	(-1, 1)	75	946.3437459468842	0.6628571428571428	0.7628571428571429	0.6628571428571428	0.8671428571428571	13
0.02	morphed	16	(3, 3)	256	(-1, 1)	100	906.7197678089142	0.6471428571428571	0.67	0.6471428571428571	0.8357142857142857	14
0.005	morphed	64	(3, 3)	256	(-1, 1)	0	1021.1105189323425	0.6585714285714286	0.7542857142857143	0.6585714285714286	0.8357142857142857	15
0.005	morphed	64	(3, 3)	256	(-1, 1)	25	1076.5134811401367	0.6557142857142857	0.6985714285714286	0.6557142857142857	0.75	16
0.005	morphed	64	(3, 3)	256	(-1, 1)	50	1022.0613124370575	0.6414285714285715	0.7414285714285714	0.6414285714285715	0.8414285714285714	17
0.005	morphed	64	(3, 3)	256	(-1, 1)	75	1139.2555527687073	0.66	0.7171428571428572	0.66	0.8142857142857143	18
0.005	morphed	64	(3, 3)	256	(-1, 1)	100	1201.8443095684052	0.6485714285714286	0.7457142857142857	0.6485714285714286	0.8528571428571429	19
0.01	morphed	64	(3, 3)	256	(-1, 1)	0	1022.6999928951263	0.6457142857142857	0.7157142857142857	0.6457142857142857	0.8085714285714286	20
0.01	morphed	64	(3, 3)	256	(-1, 1)	25	1023.2015771865845	0.6557142857142857	0.7014285714285714	0.6557142857142857	0.8285714285714286	21
0.01	morphed	64	(3, 3)	256	(-1, 1)	50	1070.1220390796661	0.6571428571428571	0.74	0.6571428571428571	0.85	22
0.01	morphed	64	(3, 3)	256	(-1, 1)	75	1182.2944700717926	0.6557142857142857	0.7157142857142857	0.6557142857142857	0.81	23
0.01	morphed	64	(3, 3)	256	(-1, 1)	100	1195.038504600525	0.69	0.7871428571428571	0.69	0.8728571428571429	24
0.02	morphed	64	(3, 3)	256	(-1, 1)	0	1023.0369069576263	0.63	0.7085714285714285	0.63	0.7714285714285715	25
0.02	morphed	64	(3, 3)	256	(-1, 1)	25	1121.7883791923523	0.6614285714285715	0.73	0.6614285714285715	0.81	26
0.02	morphed	64	(3, 3)	256	(-1, 1)	50	1061.392442703247	0.6785714285714286	0.7385714285714285	0.6785714285714286	0.8242857142857143	27
0.02	morphed	64	(3, 3)	256	(-1, 1)	75	1154.7205817699432	0.6342857142857142	0.7128571428571429	0.6342857142857142	0.8628571428571429	28
0.02	morphed	64	(3, 3)	256	(-1, 1)	100	1164.3998672962189	0.6542857142857142	0.6557142857142857	0.6542857142857142	0.6571428571428571	29
