dropout	pre_processing_type	conv_layer_1	conv_layer_shape	size	scalar	re_train_on_known_errors	epochs	time	multi_class_zr_acc	multi_class_model_acc	boolean_zr_acc	boolean_model_acc	run number
0.01	None	16	(3, 3)	16	(-1, 1)	0	1	9.924621105194092	0.6242857142857143	0.19714285714285715	0.6242857142857143	0.4657142857142857	0
0.01	None	16	(3, 3)	16	(-1, 1)	0	2	13.720537424087524	0.6242857142857143	0.40714285714285714	0.6242857142857143	0.5557142857142857	1
0.01	None	16	(3, 3)	16	(-1, 1)	0	4	21.933173179626465	0.6242857142857143	0.16857142857142857	0.6242857142857143	0.49142857142857144	2
0.01	None	16	(3, 3)	16	(-1, 1)	0	8	37.9937047958374	0.6242857142857143	0.16142857142857142	0.6242857142857143	0.48857142857142855	3
0.01	None	16	(3, 3)	16	(-1, 1)	0.3	1	11.886594772338867	0.6242857142857143	0.14285714285714285	0.6242857142857143	0.4257142857142857	4
0.01	None	16	(3, 3)	16	(-1, 1)	0.3	2	18.770413637161255	0.6242857142857143	0.07285714285714286	0.6242857142857143	0.38571428571428573	5
0.01	None	16	(3, 3)	16	(-1, 1)	0.3	4	31.55531930923462	0.6242857142857143	0.13428571428571429	0.6242857142857143	0.43857142857142856	6
0.01	None	16	(3, 3)	16	(-1, 1)	0.3	8	52.024317502975464	0.6242857142857143	0.25142857142857145	0.6242857142857143	0.5114285714285715	7
0.01	None	16	(3, 3)	16	(-1, 1)	0.6	1	16.70978808403015	0.6242857142857143	0.08857142857142856	0.6242857142857143	0.4	8
0.01	None	16	(3, 3)	16	(-1, 1)	0.6	2	27.97606134414673	0.6242857142857143	0.10714285714285714	0.6242857142857143	0.38285714285714284	9
0.01	None	16	(3, 3)	16	(-1, 1)	0.6	4	52.3059344291687	0.6242857142857143	0.047142857142857146	0.6242857142857143	0.3871428571428571	10
0.01	None	16	(3, 3)	16	(-1, 1)	0.6	8	91.92663168907166	0.6242857142857143	0.18142857142857144	0.6242857142857143	0.43857142857142856	11
0.01	None	16	(3, 3)	16	(-1, 1)	0.8	1	24.56100034713745	0.6242857142857143	0.35285714285714287	0.6242857142857143	0.56	12
