re_train_on_known_errors	scalar	pre_processing_type	dropout	conv_layer_1	size	epochs	time	boolean_zr_acc	multi_class_model_acc	boolean_model_acc
0.6	(0, 1)	None	0.02	16	256	8	588.6620083	0.674285714	0.797142857	0.935714286
0.6	None	None	0.005	32	256	8	740.0453157	0.674285714	0.795714286	0.935714286
0.3	(0, 1)	None	0.005	16	256	4	284.8686771	0.674285714	0.794285714	0.924285714
0.8	(-1, 1)	None	0.01	64	256	8	1974.524328	0.674285714	0.79	0.928571429
0.8	None	None	0.02	16	256	4	300.6228383	0.674285714	0.788571429	0.898571429
0.3	None	None	0.01	32	256	8	707.8748584	0.674285714	0.788571429	0.935714286
1	None	None	0.01	32	256	8	1020.444517	0.674285714	0.788571429	0.927142857
0.3	(0, 1)	None	0.02	16	256	8	586.4907534	0.674285714	0.787142857	0.92
0.8	None	None	0.005	16	256	8	582.435807	0.674285714	0.787142857	0.92
0.8	(-1, 1)	None	0.005	16	256	8	591.8197043	0.674285714	0.785714286	0.935714286
0.6	(0, 1)	None	0.005	16	256	8	593.6613457	0.674285714	0.785714286	0.924285714
0	(-1, 1)	None	0.01	32	256	4	359.4390802	0.674285714	0.785714286	0.924285714
0	None	None	0.02	32	256	8	713.3329399	0.674285714	0.785714286	0.938571429
0.6	(0, 1)	None	0.01	16	256	4	311.1793563	0.674285714	0.784285714	0.898571429
0.6	None	None	0.01	16	256	8	594.7322924	0.674285714	0.784285714	0.908571429
0.8	(0, 1)	None	0.02	16	256	8	588.1980054	0.674285714	0.784285714	0.931428571
0.8	(0, 1)	None	0.005	16	256	8	579.3612909	0.674285714	0.784285714	0.942857143
0	(-1, 1)	None	0.02	32	256	8	708.1027184	0.674285714	0.784285714	0.924285714
0.3	(0, 1)	None	0.02	32	256	4	359.5558107	0.674285714	0.784285714	0.92
1	(-1, 1)	None	0.01	16	256	8	685.6510665	0.674285714	0.782857143	0.888571429
0.8	None	None	0.01	16	256	4	297.5243638	0.674285714	0.782857143	0.911428571
0.3	(-1, 1)	None	0.02	16	256	4	289.4960766	0.674285714	0.782857143	0.89
0	(0, 1)	None	0.02	16	256	8	588.1885877	0.674285714	0.782857143	0.921428571
1	(0, 1)	None	0.02	16	256	8	683.7901096	0.674285714	0.782857143	0.932857143
1	None	None	0.02	16	256	4	348.1147585	0.674285714	0.782857143	0.905714286
0.3	None	None	0.005	16	256	8	562.329674	0.674285714	0.782857143	0.92
0.6	None	None	0.005	16	256	8	591.4810894	0.674285714	0.782857143	0.931428571
0.6	(0, 1)	None	0.01	32	256	4	376.7462611	0.674285714	0.782857143	0.912857143
0.8	(-1, 1)	None	0.005	32	256	8	847.462985	0.674285714	0.782857143	0.918571429
1	(0, 1)	None	0.005	32	256	4	516.0674713	0.674285714	0.782857143	0.912857143
0.6	(-1, 1)	None	0.01	64	256	8	1732.942191	0.674285714	0.782857143	0.935714286
1	(-1, 1)	None	0.01	16	256	4	342.0857902	0.674285714	0.781428571	0.902857143
0	None	None	0.01	16	256	8	589.5359161	0.674285714	0.781428571	0.93
0	None	None	0.02	16	256	8	588.713959	0.674285714	0.781428571	0.92
0.8	None	None	0.02	16	256	8	580.654449	0.674285714	0.781428571	0.892857143
0.8	None	None	0.02	32	256	4	432.4395597	0.674285714	0.781428571	0.892857143
0.8	None	None	0.005	32	256	8	845.645309	0.674285714	0.781428571	0.924285714
1	None	None	0.005	32	256	4	515.2491274	0.674285714	0.781428571	0.92
1	(0, 1)	None	0.01	16	256	8	683.836518	0.674285714	0.78	0.915714286
1	(0, 1)	None	0.005	16	256	8	674.0069325	0.674285714	0.78	0.922857143
0.6	None	None	0.01	32	256	2	193.5602951	0.674285714	0.78	0.901428571
0.6	(0, 1)	None	0.005	32	256	8	741.3724301	0.674285714	0.78	0.92
0.3	None	None	0.005	32	256	8	706.0746	0.674285714	0.78	0.935714286
0.3	(0, 1)	None	0.01	16	256	4	298.0027511	0.674285714	0.778571429	0.897142857
0	None	None	0.005	16	256	4	298.395638	0.674285714	0.778571429	0.91
0	(-1, 1)	None	0.01	32	256	8	708.0535507	0.674285714	0.778571429	0.925714286
0.3	(0, 1)	None	0.01	32	256	4	359.6669559	0.674285714	0.778571429	0.894285714
1	(0, 1)	None	0.01	32	256	8	1021.149559	0.674285714	0.778571429	0.912857143
0.8	None	None	0.02	32	256	8	852.5890164	0.674285714	0.778571429	0.924285714
0	None	None	0.005	32	256	4	359.0856159	0.674285714	0.778571429	0.911428571
0	(-1, 1)	None	0.01	64	256	4	835.8370163	0.674285714	0.778571429	0.891428571
0	(-1, 1)	None	0.01	64	256	8	1653.845345	0.674285714	0.778571429	0.931428571
0	(0, 1)	None	0.02	16	256	4	288.9991624	0.674285714	0.777142857	0.921428571
0.3	None	None	0.02	16	256	4	284.8242505	0.674285714	0.777142857	0.912857143
0.6	None	None	0.02	16	256	8	590.0997691	0.674285714	0.777142857	0.911428571
0.8	(-1, 1)	None	0.005	16	256	4	293.4781604	0.674285714	0.777142857	0.918571429
0	(0, 1)	None	0.005	16	256	4	284.5925951	0.674285714	0.777142857	0.908571429
0.6	(0, 1)	None	0.005	16	256	4	299.1958122	0.674285714	0.777142857	0.888571429
0	None	None	0.01	32	256	4	359.8982172	0.674285714	0.777142857	0.914285714
0.3	None	None	0.01	32	256	4	359.0627127	0.674285714	0.777142857	0.914285714
0.8	None	None	0.01	32	256	8	848.0191803	0.674285714	0.777142857	0.935714286
0.3	None	None	0.005	32	256	4	358.845027	0.674285714	0.777142857	0.924285714
0.8	(-1, 1)	None	0.02	16	256	8	581.2430825	0.674285714	0.775714286	0.924285714
0.3	(-1, 1)	None	0.005	16	256	4	284.9869618	0.674285714	0.775714286	0.911428571
0.3	None	None	0.005	16	256	4	298.5950933	0.674285714	0.775714286	0.904285714
0.3	(-1, 1)	None	0.01	32	256	8	707.4705498	0.674285714	0.775714286	0.92
0.6	None	None	0.01	32	256	4	376.3997149	0.674285714	0.775714286	0.917142857
0.6	None	None	0.01	32	256	8	741.98856	0.674285714	0.775714286	0.925714286
0.8	None	None	0.01	32	256	4	429.262399	0.674285714	0.775714286	0.9
0.3	(-1, 1)	None	0.02	32	256	4	359.9396746	0.674285714	0.775714286	0.882857143
0.6	(0, 1)	None	0.02	32	256	8	740.2781398	0.674285714	0.775714286	0.928571429
